N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
40,SK스퀘어,"81,600","하락3,200",-3.77%,100,"109,956","134,750",53.09,"301,683",11.04,-8.04,
41,삼성전기,"143,100","하락2,600",-1.78%,"5,000","106,887","74,694",34.31,"365,297",20.03,5.50,
42,카카오뱅크,"21,900",상승100,+0.46%,"5,000","104,447","476,926",16.34,"551,789",28.66,6.00,
43,SK,"141,800",하락200,-0.14%,200,"102,809","72,503",23.69,"72,079",-24.92,-3.67,
44,한화오션,"33,150",상승900,+2.79%,"5,000","101,576","306,413",17.20,"1,390,203",17.32,6.33,
45,SK이노베이션,"105,400",하락800,-0.75%,"5,000","100,905","95,736",21.77,"228,942",-289.56,1.22,
46,KT,"39,600",상승300,+0.76%,"5,000","99,801","252,022",47.12,"538,149",9.38,6.05,
47,KODEX CD금리액티브(합성),"1,046,090",상승235,+0.02%,0,"93,402","8,929",0.01,"508,842",N/A,N/A,
48,포스코인터내셔널,"53,000",하락300,-0.56%,"5,000","93,239","175,923",6.58,"450,834",13.93,13.36,
49,삼성중공업,"10,560",하락120,-1.12%,"1,000","92,928","880,000",31.77,"3,731,777",-94.29,-4.22,
50,현대글로비스,"114,100","상승6,100",+5.65%,500,"85,575","75,000",42.20,"347,207",7.74,14.52,
51,유한양행,"106,600","상승10,400",+10.81%,"1,000","85,503","80,209",19.77,"14,631,144",57.87,6.74,
52,SK바이오팜,"108,800","상승5,000",+4.82%,500,"85,205","78,313",11.53,"382,381",251.85,-10.96,
53,DB손해보험,"119,300","하락1,300",-1.08%,500,"84,464","70,800",47.93,"130,887",4.71,15.66,
54,대한항공,"22,100",하락150,-0.67%,"5,000","81,377","368,221",16.39,"676,987",6.79,11.46,
55,하이브,"176,600",하락800,-0.45%,500,"73,558","41,652",20.16,"77,588",95.00,6.58,
56,아모레퍼시픽,"121,800",하락100,-0.08%,500,"71,244","58,493",29.58,"142,193",12.35,3.72,
57,S-Oil,"62,600",상승200,+0.32%,"2,500","70,477","112,583",76.42,"177,870",8.59,10.83,
58,HD현대,"81,900",상승300,+0.37%,"1,000","64,695","78,993",20.08,"70,296",12.30,3.57,
59,KODEX 200,"36,910",하락25,-0.07%,0,"61,289","166,050",30.27,"2,984,140",N/A,N/A,
60,현대차2우B,"170,700","상승1,400",+0.83%,"5,000","61,041","35,759",62.92,"78,679",3.70,N/A,
61,TIGER CD금리투자KIS(합성),"54,825",보합0,0.00%,0,"61,007","111,276",0.00,"109,731",N/A,N/A,
62,LG이노텍,"254,000",보합0,0.00%,"5,000","60,114","23,667",26.94,"62,369",8.38,12.59,
63,현대로템,"53,900",상승700,+1.32%,"5,000","58,828","109,142",23.97,"1,378,774",23.94,10.06,
64,LG디스플레이,"11,180",하락20,-0.18%,"5,000","55,900","500,000",21.34,"538,111",-2.43,-31.95,
65,에코프로머티,"80,200","하락2,000",-2.43%,500,"55,395","69,071",24.54,"277,188",-560.84,0.91,
66,한국항공우주,"55,800",상승300,+0.54%,"5,000","54,391","97,475",32.24,"641,160",19.81,14.81,
67,LG생활건강,"341,500","상승1,500",+0.44%,"5,000","53,336","15,618",27.53,"33,269",35.80,2.65,
68,한국타이어앤테크놀로지,"42,400",상승50,+0.12%,500,"52,523","123,875",39.75,"149,000",5.34,7.85,
69,맥쿼리인프라,"11,940",상승10,+0.08%,0,"52,032","435,781",11.46,"429,391",N/A,N/A,
70,삼성카드,"44,850","상승2,800",+6.66%,"5,000","51,963","115,859",6.93,"277,189",8.10,7.61,
71,넷마블,"60,400",상승200,+0.33%,100,"51,916","85,954",25.70,"97,623",-238.74,-4.90,
72,삼성E&A,"26,450",하락250,-0.94%,"5,000","51,842","196,000",47.08,"345,598",6.97,24.45,
73,LS ELECTRIC,"170,300",하락700,-0.41%,"5,000","51,090","30,000",19.41,"230,703",22.71,12.61,
74,CJ제일제당,"331,000","하락13,500",-3.92%,"5,000","49,829","15,054",25.97,"64,015",10.77,5.55,
75,미래에셋증권,"8,350",상승130,+1.58%,"5,000","49,709","595,316",13.69,"1,312,271",24.85,2.97,
76,HD현대마린솔루션,"109,800","상승1,300",+1.20%,500,"48,806","44,450",1.50,"132,307",29.06,71.59,
77,코웨이,"65,100",상승900,+1.40%,500,"48,044","73,800",60.30,"110,996",10.14,19.03,
78,SKC,"125,200",하락100,-0.08%,"5,000","47,411","37,868",16.11,"211,608",-21.42,-17.57,
79,NH투자증권,"13,830",하락30,-0.22%,"5,000","45,292","327,492",18.04,"385,222",8.11,7.50,
80,KODEX KOFR금리액티브(합성),"107,820",상승30,+0.03%,0,"45,037","41,771",0.00,"34,349",N/A,N/A,
81,한국가스공사,"48,600","상승1,450",+3.08%,"5,000","44,864","92,313",6.66,"2,839,102",-9.19,-7.68,
82,한진칼,"67,000",상승700,+1.06%,"2,500","44,731","66,762",21.93,"20,925",10.24,14.79,
83,한화솔루션,"25,650",하락500,-1.91%,"5,000","44,090","171,893",21.67,"508,118",-3.87,-2.48,
84,TIGER 미국S&P500,"18,655",하락30,-0.16%,0,"43,196","231,550",0.10,"17,042,016",N/A,N/A,
85,현대오토에버,"157,500","상승1,700",+1.09%,500,"43,193","27,424",1.70,"36,285",29.64,9.01,
86,SK바이오사이언스,"56,200",하락900,-1.58%,500,"43,177","76,828",6.93,"78,471",157.42,1.30,
87,두산로보틱스,"66,600",하락600,-0.89%,500,"43,170","64,820",3.44,"125,430",-309.77,-6.59,
88,LG유플러스,"9,860",상승70,+0.72%,"5,000","43,050","436,611",35.08,"890,478",7.79,7.49,
89,HD현대미포,"106,600",하락500,-0.47%,"5,000","42,578","39,942",20.66,"387,915",-58.99,-6.96,
90,포스코DX,"27,950","하락1,100",-3.79%,500,"42,494","152,035",6.67,"777,764",50.63,21.08,
91,GS,"45,700",상승50,+0.11%,"5,000","42,462","92,915",23.08,"89,781",3.33,10.05,
92,삼성증권,"47,450",하락50,-0.11%,"5,000","42,373","89,300",30.55,"200,807",7.73,8.54,
93,엔씨소프트,"192,200",하락100,-0.05%,500,"42,196","21,954",36.29,"38,949",21.45,6.58,
94,한국금융지주,"75,000","상승1,700",+2.32%,"5,000","41,794","55,726",41.34,"139,197",6.19,8.81,
95,LIG넥스원,"188,900",하락800,-0.42%,"5,000","41,558","22,000",20.50,"101,411",21.89,17.61,
96,현대차우,"168,500","상승1,500",+0.90%,"5,000","40,224","23,872",66.47,"38,159",3.65,N/A,
97,두산밥캣,"39,350",상승300,+0.77%,500,"39,448","100,249",36.58,"283,182",5.05,16.79,
98,한미약품,"304,500","상승9,000",+3.05%,"2,500","39,009","12,811",19.03,"63,666",21.16,16.01,
99,시프트업,"66,200",하락800,-1.19%,200,"38,618","58,335",1.42,"230,465",31.05,86.44,
100,삼양식품,"500,000","하락7,000",-1.38%,"5,000","37,665","7,533",14.65,"91,934",22.10,24.81,
101,CJ,"127,500","상승3,700",+2.99%,"5,000","37,201","29,177",14.63,"85,124",10.53,3.64,
102,LS,"115,500","하락1,600",-1.37%,"5,000","37,191","32,200",16.46,"100,181",9.35,9.63,
103,금호석유,"133,900",상승900,+0.68%,"5,000","37,054","27,673",24.07,"61,745",10.27,7.77,
104,TIGER KOFR금리액티브(합성),"106,350",상승30,+0.03%,0,"36,898","34,695",0.00,"45,679",N/A,N/A,
105,TIGER 미국나스닥100,"116,880",하락995,-0.84%,0,"36,315","31,070",0.05,"189,356",N/A,N/A,
106,오리온,"91,600",하락600,-0.65%,500,"36,215","39,536",27.48,"86,073",9.27,13.91,
107,현대건설,"32,150",상승500,+1.58%,"5,000","35,801","111,356",23.70,"425,261",6.62,6.77,
